Date_reported,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-04,India,0.0,0,0.0,0
2020-01-05,India,0.0,0,0.0,0
2020-01-06,India,0.0,0,0.0,0
2020-01-07,India,0.0,0,0.0,0
2020-01-08,India,0.0,0,0.0,0
2020-01-09,India,0.0,0,0.0,0
2020-01-10,India,0.0,0,0.0,0
2020-01-11,India,0.0,0,0.0,0
2020-01-12,India,0.0,0,0.0,0
2020-01-13,India,0.0,0,0.0,0
2020-01-14,India,0.0,0,0.0,0
2020-01-15,India,0.0,0,0.0,0
2020-01-16,India,0.0,0,0.0,0
2020-01-17,India,0.0,0,0.0,0
2020-01-18,India,0.0,0,0.0,0
2020-01-19,India,0.0,0,0.0,0
2020-01-20,India,0.0,0,0.0,0
2020-01-21,India,0.0,0,0.0,0
2020-01-22,India,0.0,0,0.0,0
2020-01-23,India,0.0,0,0.0,0
2020-01-24,India,0.0,0,0.0,0
2020-01-25,India,0.0,0,0.0,0
2020-01-26,India,0.0,0,0.0,0
2020-01-27,India,0.0,0,0.0,0
2020-01-28,India,0.0,0,0.0,0
2020-01-29,India,0.0,0,0.0,0
2020-01-30,India,1.0,1,0.0,0
2020-01-31,India,0.0,1,0.0,0
2020-02-01,India,0.0,1,0.0,0
2020-02-02,India,1.0,2,0.0,0
2020-02-03,India,1.0,3,0.0,0
2020-02-04,India,0.0,3,0.0,0
2020-02-05,India,0.0,3,0.0,0
2020-02-06,India,0.0,3,0.0,0
2020-02-07,India,0.0,3,0.0,0
2020-02-08,India,0.0,3,0.0,0
2020-02-09,India,0.0,3,0.0,0
2020-02-10,India,0.0,3,0.0,0
2020-02-11,India,0.0,3,0.0,0
2020-02-12,India,0.0,3,0.0,0
2020-02-13,India,0.0,3,0.0,0
2020-02-14,India,0.0,3,0.0,0
2020-02-15,India,0.0,3,0.0,0
2020-02-16,India,0.0,3,0.0,0
2020-02-17,India,0.0,3,0.0,0
2020-02-18,India,0.0,3,0.0,0
2020-02-19,India,0.0,3,0.0,0
2020-02-20,India,0.0,3,0.0,0
2020-02-21,India,0.0,3,0.0,0
2020-02-22,India,0.0,3,0.0,0
2020-02-23,India,0.0,3,0.0,0
2020-02-24,India,0.0,3,0.0,0
2020-02-25,India,0.0,3,0.0,0
2020-02-26,India,0.0,3,0.0,0
2020-02-27,India,0.0,3,0.0,0
2020-02-28,India,0.0,3,0.0,0
2020-02-29,India,0.0,3,0.0,0
2020-03-01,India,0.0,3,0.0,0
2020-03-02,India,2.0,5,0.0,0
2020-03-03,India,0.0,5,0.0,0
2020-03-04,India,23.0,28,0.0,0
2020-03-05,India,1.0,29,0.0,0
2020-03-06,India,2.0,31,0.0,0
2020-03-07,India,3.0,34,0.0,0
2020-03-08,India,5.0,39,0.0,0
2020-03-09,India,5.0,44,0.0,0
2020-03-10,India,6.0,50,0.0,0
2020-03-11,India,10.0,60,0.0,0
2020-03-12,India,13.0,73,0.0,0
2020-03-13,India,8.0,81,1.0,1
2020-03-14,India,3.0,84,1.0,2
2020-03-15,India,23.0,107,0.0,2
2020-03-16,India,7.0,114,0.0,2
2020-03-17,India,23.0,137,1.0,3
2020-03-18,India,14.0,151,0.0,3
2020-03-19,India,22.0,173,1.0,4
2020-03-20,India,50.0,223,0.0,4
2020-03-21,India,60.0,283,0.0,4
2020-03-22,India,77.0,360,3.0,7
2020-03-23,India,74.0,434,2.0,9
2020-03-24,India,85.0,519,0.0,9
2020-03-25,India,87.0,606,1.0,10
2020-03-26,India,43.0,649,3.0,13
2020-03-27,India,75.0,724,4.0,17
2020-03-28,India,185.0,909,2.0,19
2020-03-29,India,70.0,979,6.0,25
2020-03-30,India,92.0,1071,4.0,29
2020-03-31,India,180.0,1251,3.0,32
2020-04-01,India,386.0,1637,6.0,38
2020-04-02,India,328.0,1965,12.0,50
2020-04-03,India,336.0,2301,6.0,56
2020-04-04,India,601.0,2902,12.0,68
2020-04-05,India,472.0,3374,9.0,77
2020-04-06,India,693.0,4067,32.0,109
2020-04-07,India,354.0,4421,5.0,114
2020-04-08,India,853.0,5274,35.0,149
2020-04-09,India,591.0,5865,20.0,169
2020-04-10,India,547.0,6412,30.0,199
2020-04-11,India,1035.0,7447,40.0,239
2020-04-12,India,909.0,8356,34.0,273
2020-04-13,India,796.0,9152,35.0,308
2020-04-14,India,1211.0,10363,31.0,339
2020-04-15,India,1076.0,11439,38.0,377
2020-04-16,India,941.0,12380,37.0,414
2020-04-17,India,1007.0,13387,23.0,437
2020-04-18,India,991.0,14378,43.0,480
2020-04-19,India,1334.0,15712,27.0,507
2020-04-20,India,1553.0,17265,36.0,543
2020-04-21,India,1336.0,18601,47.0,590
2020-04-22,India,1383.0,19984,50.0,640
2020-04-23,India,1409.0,21393,41.0,681
2020-04-24,India,1684.0,23077,37.0,718
