Date,Year,Week,Total_Cases
2013-06-02 18:30:00+00:00,2013,23,23.0
2013-06-09 18:30:00+00:00,2013,24,36.0
2013-06-16 18:30:00+00:00,2013,25,36.0
2013-06-23 18:30:00+00:00,2013,26,58.0
2013-06-30 18:30:00+00:00,2013,27,49.0
2013-07-07 18:30:00+00:00,2013,28,72.0
2013-07-14 18:30:00+00:00,2013,29,59.0
2013-07-21 18:30:00+00:00,2013,30,69.0
2013-07-28 18:30:00+00:00,2013,31,60.0
2013-08-04 18:30:00+00:00,2013,32,40.0
2013-08-11 18:30:00+00:00,2013,33,44.0
2013-08-18 18:30:00+00:00,2013,34,37.0
2013-08-25 18:30:00+00:00,2013,35,47.0
2013-09-01 18:30:00+00:00,2013,36,25.0
2013-09-08 18:30:00+00:00,2013,37,19.0
2013-09-15 18:30:00+00:00,2013,38,17.0
2013-09-22 18:30:00+00:00,2013,39,11.0
2013-09-29 18:30:00+00:00,2013,40,6.0
2013-10-06 18:30:00+00:00,2013,41,4.0
2013-10-13 18:30:00+00:00,2013,42,7.0
2013-10-20 18:30:00+00:00,2013,43,6.0
2013-10-27 18:30:00+00:00,2013,44,6.0
2013-11-03 18:30:00+00:00,2013,45,5.0
2013-11-10 18:30:00+00:00,2013,46,4.0
2013-11-17 18:30:00+00:00,2013,47,8.0
2013-11-24 18:30:00+00:00,2013,48,14.0
2013-12-01 18:30:00+00:00,2013,49,20.0
2013-12-08 18:30:00+00:00,2013,50,14.0
2013-12-15 18:30:00+00:00,2013,51,27.0
2013-12-22 18:30:00+00:00,2013,52,18.0
2013-12-29 18:30:00+00:00,2014,1,10.0
2014-01-05 18:30:00+00:00,2014,2,8.0
2014-01-12 18:30:00+00:00,2014,3,8.0
2014-01-19 18:30:00+00:00,2014,4,10.0
2014-01-26 18:30:00+00:00,2014,5,10.0
2014-02-02 18:30:00+00:00,2014,6,13.0
2014-02-09 18:30:00+00:00,2014,7,8.0
2014-02-16 18:30:00+00:00,2014,8,3.0
2014-02-23 18:30:00+00:00,2014,9,9.0
2014-03-02 18:30:00+00:00,2014,10,15.0
2014-03-09 18:30:00+00:00,2014,11,18.0
2014-03-16 18:30:00+00:00,2014,12,9.0
2014-03-23 18:30:00+00:00,2014,13,11.0
2014-03-30 18:30:00+00:00,2014,14,11.0
2014-04-06 18:30:00+00:00,2014,15,14.0
2014-04-13 18:30:00+00:00,2014,16,14.0
2014-04-20 18:30:00+00:00,2014,17,12.0
2014-04-27 18:30:00+00:00,2014,18,16.0
2014-05-04 18:30:00+00:00,2014,19,7.0
2014-05-11 18:30:00+00:00,2014,20,9.0
2014-05-18 18:30:00+00:00,2014,21,18.0
2014-05-25 18:30:00+00:00,2014,22,10.0
2014-06-01 18:30:00+00:00,2014,23,21.0
2014-06-08 18:30:00+00:00,2014,24,19.0
2014-06-15 18:30:00+00:00,2014,25,16.0
2014-06-22 18:30:00+00:00,2014,26,43.0
2014-06-29 18:30:00+00:00,2014,27,34.0
2014-07-06 18:30:00+00:00,2014,28,56.0
2014-07-13 18:30:00+00:00,2014,29,32.0
2014-07-20 18:30:00+00:00,2014,30,37.0
2014-07-27 18:30:00+00:00,2014,31,58.0
2014-08-03 18:30:00+00:00,2014,32,53.0
2014-08-10 18:30:00+00:00,2014,33,55.0
2014-08-17 18:30:00+00:00,2014,34,46.0
2014-08-24 18:30:00+00:00,2014,35,32.0
2014-08-31 18:30:00+00:00,2014,36,30.0
2014-09-07 18:30:00+00:00,2014,37,18.0
2014-09-14 18:30:00+00:00,2014,38,13.0
2014-09-21 18:30:00+00:00,2014,39,15.0
2014-09-28 18:30:00+00:00,2014,40,10.0
2014-10-05 18:30:00+00:00,2014,41,8.0
2014-10-12 18:30:00+00:00,2014,42,18.0
2014-10-19 18:30:00+00:00,2014,43,7.0
2014-10-26 18:30:00+00:00,2014,44,4.0
2014-11-02 18:30:00+00:00,2014,45,9.0
2014-11-09 18:30:00+00:00,2014,46,15.0
2014-11-16 18:30:00+00:00,2014,47,2.0
2014-11-23 18:30:00+00:00,2014,48,1.0
2014-11-30 18:30:00+00:00,2014,49,0.0
2014-12-07 18:30:00+00:00,2014,50,3.0
2014-12-14 18:30:00+00:00,2014,51,1.0
2014-12-21 18:30:00+00:00,2014,52,1.0
2014-12-28 18:30:00+00:00,2015,1,1.0
2015-01-04 18:30:00+00:00,2015,2,6.0
2015-01-11 18:30:00+00:00,2015,3,6.0
2015-01-18 18:30:00+00:00,2015,4,17.0
2015-01-25 18:30:00+00:00,2015,5,31.0
2015-02-01 18:30:00+00:00,2015,6,127.0
2015-02-08 18:30:00+00:00,2015,7,277.0
2015-02-15 18:30:00+00:00,2015,8,660.0
2015-02-22 18:30:00+00:00,2015,9,889.0
2015-03-01 18:30:00+00:00,2015,10,1040.0
2015-03-08 18:30:00+00:00,2015,11,928.0
2015-03-15 18:30:00+00:00,2015,12,557.0
2015-03-22 18:30:00+00:00,2015,13,272.0
2015-03-29 18:30:00+00:00,2015,14,119.0
2015-04-05 18:30:00+00:00,2015,15,66.0
2015-04-12 18:30:00+00:00,2015,16,40.0
2015-04-19 18:30:00+00:00,2015,17,32.0
2015-04-26 18:30:00+00:00,2015,18,14.0
2015-05-03 18:30:00+00:00,2015,19,6.0
2015-05-10 18:30:00+00:00,2015,20,13.0
2015-05-17 18:30:00+00:00,2015,21,8.0
2015-05-24 18:30:00+00:00,2015,22,8.0
2015-05-31 18:30:00+00:00,2015,23,1.0
2015-06-07 18:30:00+00:00,2015,24,4.0
2015-06-14 18:30:00+00:00,2015,25,2.0
2015-06-21 18:30:00+00:00,2015,26,2.0
2015-06-28 18:30:00+00:00,2015,27,2.0
2015-07-05 18:30:00+00:00,2015,28,3.0
2015-07-12 18:30:00+00:00,2015,29,3.0
2015-07-19 18:30:00+00:00,2015,30,8.0
2015-07-26 18:30:00+00:00,2015,31,8.0
2015-08-02 18:30:00+00:00,2015,32,8.0
2015-08-09 18:30:00+00:00,2015,33,19.0
2015-08-16 18:30:00+00:00,2015,34,37.0
2015-08-23 18:30:00+00:00,2015,35,60.0
2015-08-30 18:30:00+00:00,2015,36,62.0
2015-09-06 18:30:00+00:00,2015,37,55.0
2015-09-13 18:30:00+00:00,2015,38,53.0
2015-09-20 18:30:00+00:00,2015,39,65.0
2015-09-27 18:30:00+00:00,2015,40,53.0
2015-10-04 18:30:00+00:00,2015,41,76.0
